Oil Name,Attributes,Clashes,Price per Ounce,Concentrations,
Essential Skooma Oil,agility; speed; wakefulness,calming; essential oils; high blood pressure,0.0,pure,
Cedarwood,antiseptic; anxiety; arthritis; bronchitis; calming; dandruff; insect repellant; itching; nervousness; oily skin; psoriasis; rash; respiratory ailments; rheumatism; uti,may cause sensitization; may cause skin irritation; mucus membranes; pregnancy; under 6 years,0.0,pure,
Chamomile (Roman),abscess; acne; addiction; analgesic; anger; antiallergenic; antibacterial; antiinflammatory; anxiety; arthritis; boil; burn; chicken pox; cold; colic; cystitis; dental health; diaper rash; earache; eczema; gingivitis; headache; insomnia; irritability; migraine; nausea; psoriasis; sedative; sores; sprains and strains; stress; sunburn; tonsillitis; wounds,mental alertness required; pregnancy,0.0,pure,
Coriander,analgesic; antibacterial; antifungal; aphrodisiac; arthritis; colic; cramping; fatigue; flatulence; indigestion; migraine; muscle pain and stiffness; nausea; rheumatism; stress,may cause skin irritation; may cause stupor,0.0,pure,
Cypress,anger; antibacterial; antiiflammatory; antiseptic; bronchitis; calming; cold; cough; diaper rash; diuretic; emphysema; expectorant; fever; foot odor; hemorrhoids; insect repellant; insecticide; irritability; menstrual support; nosebleed; pms; sedative; stress; styptic; varicose veins; whooping cough,pregnancy,0.0,pure,
Eucalyptus,acne; analgesic; antibacterial; antifungal; antiseptic; antiviral; arthritis; bronchitis; candida; cold; cough; decongestant; diuretic; expectorant; fever; flu; intestinal parasites; migraine; muscle pain and stiffness; rheumatism; sinus infection,estrogen-dependent cancer; homeopathic remedies; internal use; pregnancy; under 6 years,0.0,pure,
Frankincense,aging skin; analgesic; antifungal; antiinflammatory; antiseptic; anxiety; asthma; bedsores; bronchitis; carbuncles; cold; cough; diaper rash; diuretic; emotional balance; expectorant; fatigue; flu; laryngitis; menstrual support; nightmares; rheumatism; scars; sedative; stretch marks; wounds,pregnancy,0.0,pure,
Hyssop,antibacterial; antiiflammatory; antiseptic; antiviral; anxiety; bronchitis; bruise; cold; cough; dermatitis; diuretic; eczema; emotional balance; expectorant; fatigue; fever; flu; intestinal parasites; lice; mental alertness; wounds,internal use; pregnancy; seizures; under 12 years,0.0,pure,
Jasmine,acne; addiction; antibacterial; aphrodisiac; breastfeeding; childbirth; concentration; depression; expectorant; fatigue; hepatitis; impotence; low testosterone; menstrual support; muscle pain and stiffness; nervousness; pms; relaxation; respiratory ailments; scarring; skin care; stretch marks,pregnancy,0.0,pure,
Lavender,acne; analgesic; antiallergenic; antibacterial; antiinflammatory; antimicrobial; antiseptic; anxiety; asthma; athlete's foot; boil; bruise; burn; chicken pox; chilblains; childbirth; colic; dandruff; depression; dermatitis; diuretic; earache; flatulence; headache; hypertension; insect bites; insect repellent; insecticide; insomnia; irritability; itching; lice; migraine; muscle pain and stiffness; nausea; nightmares; rheumatism; scabies; sedative; sprains and strains; stress; stretch marks; sunburn; vomiting; whooping cough; wounds,estrogen-dependent cancer; mental alertness required,0.0,pure,
